,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
204,Blank,Greater Than 3,Less Than 999999999999999999999999999999999999999,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'TODO')",Purchased,"('GREENFLOW', 'YELLOWVOLUME', 'GREENVOLUME')","('BUFFER', 'LOW', 'TWOBIN')",,,GROUPBY,Starts With '5500' OR Starts With '500',Contains 'Omala',02,Equals '2022-02-28' OR Equals '2022-03-02',"('BTV', 'FP3', 'FPC')","('YBSE', 'YPAC', 'YPCK')","('GROUPBY', 'E', 'F')",Less Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Less Than Or Equal 3,,Less Than 999999-12-31,"('GROUPBY', 'KAR', 'L')",Starts With 'Z',Not Equals 3,"('GROUPBY', 'R037', 'I480')",Equals 1,Equals 1,"In Range (1,10)",Equals ABCDEF,"In Range (1,10)",Greater Than 2000-01-01,NA,"('Available', 'N/A', 'Partially Available')","In Range (1,10)",Ends With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'Z',Contains 'Z',,"('I411', 'I349', 'G081')",Contains 'a' OR Contains 'A',Contains 'Z'
205,Not Blank,Greater Than Or Equal 3,Greater Than Or Equal 3,Less Than 3,REQUIRESRELEASE,"('GROUPBY', 'Manufactured', 'Purchased')","('GREENFEP', 'REDFEP', 'RTO')","('CYCLIC', 'LOW', 'FEP')",GROUPBY,true,true,Ends With 'Z',Starts With 'Refrig' OR Contains 'Gadus',02,Equals '2022-02-28' OR Equals '2022-03-02',"('BSE', 'FPE', 'PRE')","('GROUPBY', 'YBLU', 'YPAC')",F,Less Than Or Equal 3,Less Than 3,"In Range (1,10)",Equals ABCDEF,Blank,Less Than 999999-12-31,"('EA', 'KAR', 'SKU')",Ends With 'Z',Greater Than Or Equal 3,"('GROUPBY', 'P083', 'I480')",Greater Than Or Equal 1 AND Less Than Or Equal 10,,"In Range (1,10)",Equals 1,Equals 5,Less Than 9999-12-31,"('GROUPBY', 'NA', 'No')","('GROUPBY', 'N/A', 'Not Available')",Greater Than Or Equal 1 AND Less Than Or Equal 10,,Contains 'a' AND Contains 'A',Contains 'Z',Contains 'Z',Contains 'Z',Distributed,"('I349', 'I486', 'C311')",Contains 'a' AND Contains 'A',Ends With 'Z'
206,Less Than Or Equal 3,Less Than 3,Equals 1,Equals 1 OR Greater Than 5,"('GROUPBY', 'REQUIRESRELEASE', 'RELEASED')",Distributed,"('GROUPBY', 'GREENVOLUME', 'BLUEVOLUME')",BUFFER,true,,false,Contains '4' AND Contains '2',Contains 'a' OR Contains 'A',05,,"('APZ', 'BSE', 'FPE')",YBSE,"('GROUPBY', 'E', 'F')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Equals 5,Equals ABCDEF,Equals 1 OR Equals 5,Less Than 9999-12-31,,"('KAR', 'LB', 'UG6')",,Equals -1,"('GROUPBY', 'T124', 'I353')",Equals 1 OR Equals 5,Not Blank,Equals 6,Equals 6,Blank,Less Than 999999-12-31,"('NA', 'Yes', 'No')","('Available', 'Not Available', 'Partially Available')",Equals 6,Starts With 'Z',,Contains 'a' OR Contains 'A',,Starts With 'Z',Manufactured,"('I411', 'I477', 'C604')",Starts With 'SHELL' AND Ends With '3',Starts With 'LOC' AND Contains 'ITEM'
207,Blank,"In Range (1,10)",,Less Than 9223372036854775807,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('YELLOWFLOW', 'BLUEFLOW', 'YELLOWVOLUME')","('BUFFER', 'RTO', 'MANUAL')",false,,GROUPBY,Contains 'Z',Starts With 'Refrig' OR Contains 'Gadus',02,Less Than 9999-12-31,"('FP1', 'FPF', 'NOF')","('GROUPBY', 'YNOP', 'YPCK')",GROUPBY,Blank,Greater Than Or Equal 3,Less Than Or Equal 3,Greater Than 3,Blank,Less Than 9999-12-31,"('GROUPBY', 'EA', 'KG')",Contains 'Z',Equals 1 OR Equals 5,,Not Equals 3,Greater Than 3,Less Than 3,Greater Than 3,Equals 1 OR Equals 5,Greater Than 2000-01-01 AND Less Than 9999-12-31,Yes,"('Available', 'N/A', 'Not Available')",Blank,Starts With 'Z',Starts With 'Z',Contains 'Z',Starts With 'Z',Contains 'Z',Manufactured,"('I339', 'I009', 'C604')",Contains 'Z',Starts With 'LOC'
208,Not Blank,Less Than 9223372036854775807,Equals 1,Less Than 9223372036854775807,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESAPPROVAL')","('GROUPBY', 'Manufactured', 'Purchased')","('GROUPBY', 'RTO', 'REDVOLUME')",RTO,GROUPBY,false,GROUPBY,Starts With '5500' OR Starts With '500',,"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Blank,"('D1B', 'FP2', 'GPF')","('GROUPBY', 'YBLU', 'YNOP')",GROUPBY,Equals 1 OR Greater Than 5,Not Equals 3,Equals ABCDEF,Not Blank,Less Than 9999-12-31,,"('KAR', 'LB', 'SKU')",Starts With 'Z',Not Equals 3,P083,Greater Than Or Equal 1 AND Less Than Or Equal 10,Blank,,Equals 6,Equals 6,Blank,NA,Partially Available,Not Equals 3,Starts With 'Z',Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Starts With 'Z',Purchased,"('U022', 'C604', 'G081')",Contains 'a' AND Contains 'A',
209,"In Range (1,10)",Equals 1,Greater Than Or Equal 3,Equals -1,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESAPPROVAL')",Distributed,"('YELLOWFLOW', 'BLUEFLOW', 'GREENFEP')","('GROUPBY', 'CYCLIC', 'FEP')",false,,,Contains 'a' AND Contains 'A',Starts With 'Z',"('GROUPBY', '02', '05')",Greater Than 2000-01-01,"('BTV', 'FPF', 'IBC')","('GROUPBY', 'YPAC', 'YNOP')","('GROUPBY', 'E', 'F')",Less Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Greater Than Or Equal 1 AND Less Than Or Equal 10,,Less Than 9999-12-31,"('EA', 'KAR', 'TO')",Contains 'a' AND Contains 'A',Less Than 9223372036854775807,"('GROUPBY', 'P083', 'I480')",Not Blank,Blank,Equals 5,,Equals 1,Less Than 999999-12-31,GROUPBY,"('GROUPBY', 'N/A', 'Partially Available')",Equals 1 OR Equals 5,Contains 'a' AND Contains 'A',,,,Contains 'a' AND Contains 'A',Distributed,"('I477', 'I337', 'I009')",Contains 'a' OR Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
210,Less Than Or Equal 3,Less Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,RELEASED,Purchased,"('YELLOWFLOW', 'GREENFLOW', 'BLUEVOLUME')","('CYCLIC', 'RTO', 'TWOBIN')",,true,true,Starts With '5500' OR Starts With '500',,05,Greater Than 2000-01-01,"('GROUPBY', 'D1P', 'FBR')","('YPAC', 'YPCK', 'YRAW')","('GROUPBY', 'E', 'F')",,Equals 1 OR Equals 5,Greater Than 3,Equals ABCDEF,Greater Than 2000-01-01,Blank,"('KAR', 'KG', 'L')",Starts With 'Z',Equals 1,"('GROUPBY', 'T124', 'I353')",Equals 1,Blank,Equals 5,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Blank,,GROUPBY,Not Blank,Contains 'Z',Starts With 'Z',,Ends With 'Z',,"('Purchased', 'Manufactured', 'Distributed')","('I340', 'I335', 'R175')",,
211,Equals 6,Equals 1 OR Equals 5,Blank,Less Than 9223372036854775807,"('POSTPONED', 'TODO', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('GROUPBY', 'GREENFEP', 'RTO')","('FLOW', 'TWOBIN', 'MANUAL')",true,true,,Ends With '9',Starts With 'Omala' AND Contains 'S4',05,Less Than 999999-12-31,"('ADB', 'ADP', 'FBF')",YPAC,F,Equals ABCDEF,Blank,Less Than 3,"In Range (1,10)",Greater Than 2000-01-01,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('EA', 'KG', 'TO')",Contains 'a' AND Contains 'A',Greater Than Or Equal 3,"('R037', 'I480', 'I353')",Equals 1,Not Equals 3,Not Equals 3,Greater Than 3,Not Blank,Less Than 999999-12-31,No,"('Available', 'Not Available', 'Partially Available')","In Range (1,10)",Starts With 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Starts With 'Z',Starts With 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('I477', 'R175', 'G081')",Contains 'a' OR Contains 'A',Starts With 'LOC'
212,,Not Equals 3,Equals 1,Greater Than 3,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFLOW', 'GREENFEP', 'RTO')","('GROUPBY', 'BUFFER', 'CYCLIC')",,GROUPBY,true,Starts With '5500',Contains 'Omala',02,Less Than 9999-12-31,"('BST', 'FP3', 'IBC')","('YBSE', 'YINT', 'YNOP')",F,Equals 6,Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Greater Than 2000-01-01 AND Less Than 9999-12-31,Not Blank,"('KG', 'L', 'LB')",Contains 'Z',Less Than 3,"('T124', 'R037', 'P083')",,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Greater Than Or Equal 3,Less Than 999999-12-31,"('NA', 'Yes', 'No')","('GROUPBY', 'Available', 'N/A')",Equals 1,Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'Z',Ends With 'Z',,"('Purchased', 'Manufactured', 'Distributed')","('GROUPBY', 'I324', 'U022')",Contains 'a' OR Contains 'A',Starts With 'Z'
213,Not Equals 3,Less Than 9223372036854775807,Greater Than 3,Blank,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')",Purchased,"('BLUEFLOW', 'REDFEP', 'BLUEVOLUME')","('GROUPBY', 'CYCLIC', 'LOW')",GROUPBY,true,false,,,"('GROUPBY', '02', '05')",Greater Than 2000-01-01,"('DRM', 'PKG', 'PWD')","('YBLU', 'YINT', 'YRAW')",,Greater Than 3,Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than Or Equal 3,Not Blank,Blank,"('KAR', 'TO', 'UG6')",Ends With 'Z',Equals 'ABCDEF',"('T124', 'R037', 'I480')",Equals 1 OR Greater Than 5,Not Blank,Equals 5,Not Blank,Equals 5,Greater Than 2000-01-01,NA,GROUPBY,Greater Than 3,Contains 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Ends With 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('I411', 'I337', 'P082')",Ends With 'Z',Starts With 'LOC' AND Contains 'ITEM'
214,Less Than 3,Equals same value as in table,Equals -1,Less Than 999999999999999999999999999999999999999,"('GROUPBY', 'REQUIRESAPPROVAL', 'POSTPONED')","('GROUPBY', 'Distributed', 'Purchased')","('REDVOLUME', 'YELLOWVOLUME', 'BLUEVOLUME')",MANUAL,GROUPBY,true,GROUPBY,,Starts With 'Omala' AND Contains 'S4',,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('NOF', 'PKG', 'PRL')","('YBSE', 'YNOP', 'YRAW')",,Equals 1 OR Equals 5,Less Than Or Equal 3,Greater Than 3,Not Blank,Not Blank,Greater Than 2000-01-01,"('KAR', 'KG', 'UG6')",,Greater Than Or Equal 3,"('T124', 'R037', 'I480')",Less Than Or Equal 3,Equals 6,Not Equals 3,Not Blank,Not Blank,Greater Than 2000-01-01,"('NA', 'Yes', 'No')","('Available', 'N/A', 'Partially Available')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Contains 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Ends With 'Z',,"('Purchased', 'Manufactured', 'Distributed')","('I324', 'C604', 'G081')",,Starts With 'Z'
215,Equals 1,Less Than 3,Equals -1,Blank,"('RELEASED', 'POSTPONED', 'TODO')","('Manufactured', 'Distributed', 'Purchased')","('GROUPBY', 'YELLOWFLOW', 'YELLOWVOLUME')","('GROUPBY', 'CYCLIC', 'TWOBIN')",GROUPBY,true,true,Contains '4' AND Contains '2',Ends With 'Z',GROUPBY,Blank,"('APZ', 'FP1', 'IBC')","('GROUPBY', 'YBLU', 'YBSE')","('GROUPBY', 'E', 'F')",Greater Than Or Equal 1 AND Less Than Or Equal 10,,,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,Greater Than 2000-01-01,"('KG', 'LB', 'TO')",Contains 'a' OR Contains 'A',Less Than Or Equal 3,"('GROUPBY', 'T124', 'I480')",Greater Than Or Equal 3,Equals 1,"In Range (1,10)",Less Than Or Equal 3,Blank,Blank,"('GROUPBY', 'Yes', 'No')","('N/A', 'Not Available', 'Partially Available')","In Range (1,10)",Contains 'a' OR Contains 'A',Contains 'Z',,Contains 'a' OR Contains 'A',,Purchased,"('I389', 'I349', 'P082')",,Starts With 'LOC' AND Contains 'ITEM'
216,Equals 1,Blank,Less Than 3,Greater Than 3,,"('GROUPBY', 'Manufactured', 'Distributed')","('REDVOLUME', 'GREENVOLUME', 'BLUEVOLUME')","('FLOW', 'RTO', 'MANUAL')",GROUPBY,,GROUPBY,Contains '4' AND Contains '2',Contains 'a' OR Contains 'A',05,Equals '2022-02-28',"('ADP', 'FBR', 'FP2')","('GROUPBY', 'YPAC', 'YRAW')","('GROUPBY', 'E', 'F')",Less Than Or Equal 3,,Equals ABCDEF,,Less Than 9999-12-31,Blank,"('KAR', 'LB', 'UG6')",Contains 'a' OR Contains 'A',Less Than 999999999999999999999999999999999999999,GROUPBY,"In Range (1,10)",Equals 1,Equals 6,Equals ABCDEF,Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('NA', 'Yes', 'No')","('Available', 'N/A', 'Partially Available')",Equals 1 OR Equals 5,Contains 'a' OR Contains 'A',Contains 'Z',,Contains 'a' OR Contains 'A',Ends With 'Z',Distributed,"('I389', 'R175', 'I486')",,Ends With 'Z'
217,Equals ABCDEF,Less Than 999999999999999999999999999999999999999,Greater Than 3,Equals -1,REQUIRESAPPROVAL,,GREENVOLUME,"('FLOW', 'BUFFER', 'TWOBIN')",true,,true,Starts With '5' AND Ends With '1',Starts With 'Omala' AND Contains 'S4',"('GROUPBY', '02', '05')",Less Than 999999-12-31,"('GROUPBY', 'APZ', 'NOF')","('YBLU', 'YBSE', 'YRAW')",GROUPBY,Not Blank,Less Than 3,Not Blank,Equals 1 OR Greater Than 5,Less Than 999999-12-31,Greater Than 2000-01-01,L,Starts With 'Z',Not Blank,"('GROUPBY', 'R037', 'I480')",Greater Than Or Equal 3,Not Equals 3,Equals 1 OR Equals 5,Equals 5,Equals ABCDEF,Less Than 999999-12-31,NA,Available,Not Equals 3,Ends With 'Z',,Contains 'a' OR Contains 'A',,Contains 'a' AND Contains 'A',,"('I349', 'I339', 'T804')",Contains 'Z',
218,Equals 1,Greater Than 3,Less Than 9223372036854775807,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('GROUPBY', 'TODO', 'REJECTED')",Manufactured,"('YELLOWFLOW', 'BLUEFLOW', 'YELLOWVOLUME')","('LOW', 'RTO', 'FEP')",,false,true,Contains '24',Contains 'a' OR Contains 'A',02,Equals '2022-02-28' OR Blank,"('FPE', 'FPF', 'MTO')","('GROUPBY', 'YBLU', 'YBSE')",,,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Equals 1 OR Equals 5,,Less Than 9999-12-31,"('EA', 'L', 'UG6')",,Not Blank,"('T124', 'I480', 'I353')",Greater Than 3,Greater Than Or Equal 3,"In Range (1,10)","In Range (1,10)",Equals 1 OR Greater Than 5,,No,"('GROUPBY', 'Available', 'N/A')",Equals 5,Contains 'Z',Starts With 'Z',,Starts With 'Z',Contains 'Z',GROUPBY,"('GROUPBY', 'I009', 'G081')",Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A'
219,"In Range (1,10)",Equals 1 OR Equals 5,Less Than Or Equal 3,Less Than 3,RELEASED,"('Manufactured', 'Distributed', 'Purchased')","('REDFLOW', 'YELLOWFLOW', 'REDFEP')","('FEP', 'TWOBIN', 'MANUAL')",true,true,true,,Contains 'Z',"('GROUPBY', '02', '05')",Less Than 9999-12-31,"('FBE', 'PKG', 'PRL')","('GROUPBY', 'YNOP', 'YRAW')",,,Equals 1 OR Equals 5,Equals ABCDEF,"In Range (1,10)",Less Than 9999-12-31,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('EA', 'SKU', 'UG6')",Contains 'Z',Equals same value as in table,"('R037', 'P083', 'I480')","In Range (1,10)",Less Than Or Equal 3,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Not Blank,Yes,,Equals ABCDEF,,Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',Distributed,"('F477', 'I486', 'C604')",Contains 'Z',Starts With 'Z'
220,Not Blank,Greater Than 3,Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REJECTED')",Purchased,"('GROUPBY', 'GREENFEP', 'REDFEP')","('CYCLIC', 'RTO', 'MANUAL')",GROUPBY,GROUPBY,false,Ends With '9',Contains 'a' OR Contains 'A',05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('APD', 'BTV', 'FPE')","('YINT', 'YPAC', 'YNOP')","('GROUPBY', 'E', 'F')",Not Equals 3,Equals 1,Equals 5,Equals 6,,Greater Than 2000-01-01,"('GROUPBY', 'EA', 'KAR')",Contains 'a' OR Contains 'A',Equals 1 OR Greater Than 5,"('R037', 'P083', 'I480')",Equals 1 OR Greater Than 5,Less Than 3,Equals 1 OR Greater Than 5,Equals 5,Greater Than Or Equal 3,Blank,NA,"('GROUPBY', 'Available', 'N/A')","In Range (1,10)",Ends With 'Z',Ends With 'Z',,Starts With 'Z',Contains 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('I477', 'I351', 'I337')",,Contains 'a' AND Contains 'A'
221,Less Than Or Equal 3,Equals +1,Not Blank,Equals 1,"('RELEASED', 'POSTPONED', 'TODO')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFLOW', 'GREENFEP', 'RTO')","('BUFFER', 'LOW', 'TWOBIN')",GROUPBY,,true,Contains 'a' AND Contains 'A',Ends With 'Z',"('GROUPBY', '02', '05')",,"('DRM', 'FBF', 'FPE')","('GROUPBY', 'YBLU', 'YPAC')",E,Not Equals 3,,"In Range (1,10)",Equals 1,,,"('GROUPBY', 'L', 'UG6')",Starts With 'Z',,T124,Equals ABCDEF,"In Range (1,10)",Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Less Than 999999-12-31,NA,"('GROUPBY', 'Available', 'Partially Available')",Equals 5,Contains 'Z',Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',"('GROUPBY', 'Purchased', 'Manufactured')","('I411', 'I351', 'P082')",Ends With 'Z',Starts With 'LOC' AND Contains 'ITEM'
222,Greater Than Or Equal 3,,Greater Than 3,Less Than 9223372036854775807,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'RELEASED')",GROUPBY,"('REDFLOW', 'BLUEFLOW', 'RTO')","('FLOW', 'LOW', 'FEP')",false,true,true,Contains 'a' OR Contains 'A',Contains 'Omala',"('GROUPBY', '02', '05')",Equals '2022-02-28',"('D1B', 'DRM', 'PRE')","('GROUPBY', 'YINT', 'YPAC')",,Equals 1 OR Greater Than 5,Greater Than 3,Equals 1 OR Greater Than 5,,Not Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'EA', 'KAR')",Contains 'a' AND Contains 'A',Blank,"('T124', 'R037', 'I480')",Equals 5,Blank,Equals 6,Not Blank,,Less Than 9999-12-31,"('GROUPBY', 'NA', 'Yes')","('Available', 'N/A', 'Not Available')",Not Blank,,Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'Z',Contains 'a' OR Contains 'A',GROUPBY,"('GROUPBY', 'I340', 'T804')",Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A'
223,Greater Than Or Equal 3,Equals 'ABCDEF',Not Equals 3,Equals 1,"('GROUPBY', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')","('GROUPBY', 'Manufactured', 'Distributed')","('GREENFEP', 'RTO', 'BLUEVOLUME')","('BUFFER', 'CYCLIC', 'MANUAL')",true,,false,Starts With '5500',Contains 'Omala',,Less Than 999999-12-31,"('ADB', 'BST', 'IBC')","('GROUPBY', 'YBSE', 'YPAC')",F,Blank,Greater Than 3,Equals 1 OR Equals 5,Less Than Or Equal 3,,Greater Than 2000-01-01,"('GROUPBY', 'KAR', 'LB')",,Equals 1,"('GROUPBY', 'R037', 'I480')",Less Than Or Equal 3,Less Than 3,Equals ABCDEF,Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 2000-01-01,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'N/A', 'Partially Available')",Less Than 3,Ends With 'Z',Contains 'Z',,Contains 'a' OR Contains 'A',Ends With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I340', 'I477', 'F477')",,Starts With 'Z'
224,Blank,Equals -1,Equals 1 OR Equals 5,Equals +1,"('GROUPBY', 'POSTPONED', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('GREENFLOW', 'BLUEFLOW', 'GREENFEP')","('LOW', 'FEP', 'MANUAL')",false,true,GROUPBY,Starts With 'Z',Contains 'a' OR Contains 'A',GROUPBY,Less Than 9999-12-31,"('ADP', 'FBR', 'FP1')","('YBSE', 'YNOP', 'YRAW')",E,Less Than 3,Less Than Or Equal 3,Greater Than 3,Not Blank,Not Blank,Greater Than 2000-01-01,"('L', 'LB', 'UG6')",Contains 'a' OR Contains 'A',Less Than 3,"('GROUPBY', 'R037', 'I353')",Less Than Or Equal 3,Not Equals 3,Equals 1 OR Greater Than 5,Equals 1 OR Equals 5,Equals 1,Less Than 9999-12-31,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Not Available', 'Partially Available')",Equals 6,Contains 'a' AND Contains 'A',Starts With 'Z',Starts With 'Z',Contains 'Z',Starts With 'Z',Distributed,"('T804', 'I009', 'C604')",Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A'
225,Less Than Or Equal 3,Less Than 3,Equals -1,Equals 1,"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('YELLOWFLOW', 'GREENFLOW', 'YELLOWVOLUME')","('LOW', 'TWOBIN', 'MANUAL')",true,GROUPBY,false,Ends With '9',Starts With 'Z',"('GROUPBY', '02', '05')",Not Blank,"('DRM', 'FBF', 'FPF')","('YBLU', 'YPCK', 'YRAW')",GROUPBY,Equals 6,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,Less Than 9999-12-31,Less Than 9999-12-31,"('L', 'TO', 'UG6')",Contains 'Z',Less Than 9223372036854775807,"('T124', 'P083', 'I353')",Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 3,Equals 1 OR Greater Than 5,Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,GROUPBY,"('Available', 'N/A', 'Partially Available')",Equals 6,Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' OR Contains 'A',Distributed,"('I351', 'C311', 'G081')",Starts With 'SHELL' AND Ends With '3',Starts With 'Z'
226,Equals 1,Blank,Equals same value as in table,,"('GROUPBY', 'REQUIRESATTENTION', 'REQUIRESRELEASE')",Manufactured,"('GROUPBY', 'YELLOWFLOW', 'GREENVOLUME')","('GROUPBY', 'FLOW', 'BUFFER')",GROUPBY,true,GROUPBY,Contains 'Z',Contains 'Omala',GROUPBY,Equals '2022-02-28' OR Blank,"('GROUPBY', 'APD', 'LBL')","('YBSE', 'YINT', 'YPAC')",,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",,Blank,"('KAR', 'L', 'UG6')",Contains 'Z',Equals 'ABCDEF',"('GROUPBY', 'T124', 'I480')",Not Equals 3,Greater Than 3,Equals ABCDEF,Equals 1 OR Equals 5,Less Than 3,Blank,,"('Available', 'Not Available', 'Partially Available')",Less Than Or Equal 3,,Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'Z',Starts With 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('I389', 'F477', 'U022')",Starts With 'SHELL' AND Ends With '3',
227,Not Blank,Equals 1,"In Range (1,10)",Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESATTENTION', 'POSTPONED', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('GROUPBY', 'REDFLOW', 'REDFEP')",FEP,true,false,true,Starts With '5500' OR Starts With '500',Starts With 'Omala' AND Contains 'S4',,Equals '2022-02-28',"('BSE', 'DRM', 'IBC')","('YPAC', 'YNOP', 'YRAW')",GROUPBY,Greater Than 3,Greater Than 3,Greater Than Or Equal 3,Less Than 3,Not Blank,Greater Than 2000-01-01,"('KAR', 'LB', 'TO')",Ends With 'Z',Blank,"('R037', 'P083', 'I353')",Not Blank,"In Range (1,10)",Not Blank,Equals 6,Blank,Less Than 999999-12-31,"('NA', 'Yes', 'No')",,Blank,Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' OR Contains 'A',,"('I389', 'C604', 'G081')",Starts With 'SHELL',Contains 'a' OR Contains 'A'
228,Less Than Or Equal 3,Less Than 9223372036854775807,Less Than 3,Greater Than Or Equal 3,"('RELEASED', 'TODO', 'REJECTED')",,"('GROUPBY', 'GREENFLOW', 'RTO')","('GROUPBY', 'RTO', 'MANUAL')",true,,true,Ends With '9',Contains 'a' OR Contains 'A',05,,"('GROUPBY', 'FBF', 'FPE')","('YBLU', 'YINT', 'YPAC')","('GROUPBY', 'E', 'F')",Less Than Or Equal 3,Not Blank,Less Than 3,Equals 1 OR Equals 5,Blank,Blank,"('GROUPBY', 'KG', 'SKU')",Contains 'Z',,"('P083', 'I480', 'I353')",,Greater Than Or Equal 3,Less Than Or Equal 3,Greater Than Or Equal 3,Greater Than Or Equal 3,Greater Than 2000-01-01,Yes,"('Available', 'N/A', 'Partially Available')","In Range (1,10)",Ends With 'Z',,Ends With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('I335', 'I351', 'U022')",Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A'
